,Employee,Day,TSlot,Assignment
435,Employee501587,16/11/2018,13:45:00,Downtown Lobby
436,Employee501587,16/11/2018,14:00:00,Downtown Lobby
437,Employee501587,16/11/2018,14:15:00,Downtown Lobby
438,Employee501587,16/11/2018,14:30:00,Downtown Lobby
439,Employee501587,16/11/2018,14:45:00,Downtown Lobby
440,Employee501587,16/11/2018,15:00:00,Downtown Lobby
441,Employee501587,16/11/2018,15:15:00,Downtown Lobby
442,Employee501587,16/11/2018,15:30:00,Downtown Lobby
443,Employee501587,16/11/2018,15:45:00,Downtown Lobby
444,Employee501587,16/11/2018,16:00:00,Downtown Lobby
445,Employee501587,16/11/2018,16:15:00,Downtown Lobby
446,Employee501587,16/11/2018,16:30:00,Downtown Lobby
447,Employee501587,16/11/2018,16:45:00,Downtown Lobby
448,Employee501595,15/11/2018,09:00:00,Downtown Platform
449,Employee501595,15/11/2018,09:15:00,Downtown Platform
450,Employee501595,15/11/2018,09:30:00,Downtown Platform
451,Employee501595,15/11/2018,09:45:00,Downtown Platform
452,Employee501595,15/11/2018,10:00:00,Downtown Platform
453,Employee501595,15/11/2018,10:15:00,Downtown Platform
454,Employee501595,15/11/2018,10:30:00,Downtown Platform
455,Employee501595,15/11/2018,10:45:00,Downtown Platform
456,Employee501595,15/11/2018,11:00:00,Downtown Platform
457,Employee501595,15/11/2018,11:15:00,Downtown Platform
458,Employee501595,15/11/2018,11:30:00,Downtown Platform
459,Employee501595,15/11/2018,11:45:00,Downtown Platform
460,Employee501595,15/11/2018,12:00:00,Downtown Platform
461,Employee501595,15/11/2018,12:15:00,Downtown Platform
462,Employee501595,15/11/2018,12:30:00,Downtown Platform
463,Employee501595,15/11/2018,12:45:00,Downtown Platform
464,Employee501595,15/11/2018,13:00:00,Downtown Platform
465,Employee501595,15/11/2018,13:15:00,Downtown Platform
466,Employee501595,15/11/2018,13:30:00,Downtown Platform
467,Employee501595,15/11/2018,13:45:00,Downtown Platform
468,Employee501595,15/11/2018,14:00:00,Downtown Platform
469,Employee501595,15/11/2018,14:15:00,Downtown Platform
470,Employee501595,15/11/2018,14:30:00,Downtown Platform
471,Employee501595,15/11/2018,14:45:00,Downtown Platform
472,Employee501595,15/11/2018,15:00:00,Downtown Platform
